GACETA DE LA HABANA
179
Núm. de orden.	1 Libro.	.2 £ CONVENTO.	Importe de los recibos.
74	7?	86 vto. Zanja Real óS. M . .	N 00 ln
75		87 ídem		6 . .
169		214 vto. Idem		12 52
170		216 Idem		40 . .
171		216 Idem		40 . .
172		217 Idem		10 36
*73		218 vto. Idem		2316
174	80	i Idem		28 17
*75		i vto. Idem		35 • •
176		3 Idem 			40 95
177		3 vto. Idem	«	12 31
178		8 Idem		30 5*
179		8 Idem 			ii . •
180		10 Idem 			15 28
Núm. de orden.	1 Libro.	Folio. CONVENTO.	Importe de los recibos.
181	80	12 vto. Zanja Real ó S. M . .	35 92
182		13 Idem ........	46 40
183		13 vto. Idem . • 			39 81
184		15 Idem ........	18 90
185		17 Idem		ii 80
186		18 Idem		18 31
i»?		18 vto. Idem		7 77
188		19 Idem 			32 37
189		19 vto. Idem		3 75
190		20 Idem		29 33
191		22 Idem		12 23
192		23 vto. Ideip		3 33
*93		25 Idem ........	26 28
194		25 vt. 26 Idem		51 93
*95		29 Idem		38 47
196		30 vto. Idem		200 82
197		31 Idem		141 89
198		31 vto. Idem		60 . .
199		33 Idem		 •	20 40
200		33 vto. Idem		30 n
201		34 Idem		*32 31
202		34 vto Idem		47 7<>
203	•	36 vto. Idem		54 67
204		37 Idem		48 47
205		41 Idem ........	2 94
206		43 vto. Idem		33 27
207		44 Idem		26 65
208		45 vto. Idem . 			19 80
209		47 Idem		62 42
210		50 Idem		34 59
211		50 vto. Idem		60 .
212		5 2 Idem		8 54
213		52 vto. Idem		19 54
214		53 vto. Idem		14 77
2I5		54 Idem		21 17
216		55 Wem		1562
2I7		56 Idem		10 02
218		5 7 Idem		30 . .
219		59 Idem	•	36 81
220		60 Idem		27 46
221		60 vto. Idem		17 62
222		6 i vto. Idem		19 17
223		62 Idem		12 91
224		64 Idem		5 • •
225		65 Idem . . . . • • . .	18 5.8
226		67 Idem		9 32
227		69t vto. Idem		24 27
2 28		70 Idem		23 37
229		73 vto. Idem		4 86
230		74 Idem		43 °4
23*		74 vto. Idem 			7 87
*3*		75 Idem.. . . . , ,u.	13167
233		75 vto. Idem		.29 91
234		76 Idem		8 SP,
*35		76 vto. Idem		10 42
236		78 Idem		24 69
237		78 vto. Idem		37 So
238		81 Idem		5 y ’
239		82 Idem *		9 *9
240		82 vto. Idem		10 62
241		83 Idem		14 05
242		85 vto. Idem		10 02
2 43		88 Idem		74 98
244		88 vto. Idem		7 3*
245		88 i Idem		14 61
246		88 è vto Idem		ii 3°
247		89 Idem		21 60
248		92 Idem		19 76
249		93 Idem		5 85
250		94 Idem		14 52
25*		94 vto. Idem		16 89
252		96 vto. Idem		n 16
253		no vto. Idem		3° 5°
254		ni Idem		6 06
255		ni vto. Idem		26 09
256		112 vto. Idem . .		8 18
257		113 Idem		10 45
»58		114 vto. Idem		21 96
259		no vto. Idem		9 37
260		115 Idem		6 03
261		115 vto; Idem		14 n
262		117 Idem		33 10
263		117 vto. Idem		22 27
264		118 Idem		27 46
265		119 Idem		 .	26 25
266		119 vto. Idem		17 35
267		120 Idem		ii 97
268		121 Idem			9 73
269		121 vto. Idem		5 44
270		122 vto. Idem		4 99
271		125 Idem		46 14
272*		126 Idem		8 98
273		126 vto. Idem		2 45
274		129 Idem		8 . .
275		129 vto. Idem ........	7 21
276		130 Idem		18 18
277		130 vto. Idem		24 62
278		132 vto. Idem			3* 57
279		133 Idem . • •		IO 84
280		135 Idem		9 71
281		136 Idem		15 81
282		136 vto. Idem		n 80
283		138 Idem		54 46
284		138 vto. Idem		II IO
285		139 Idem		109 15
286		141 Idem		28 97
287		141 vto. Idem		8 62
1 Núm. de orden.	Libro.	Folio. CONVENTO.	Importe de los recibos.
288	89	142 Zanja Real óS. M . .	9 4o
289		142 vto. Idem		18 77
290		143 Idem . 			9 72
291		144 vto. Idem		*3 9*
292		149 vto. Idem		31
293		149 è Idem			31
294		150 Idem		45 76
295		150 vto. Idem		20 • ,
296		151 Idem 			41 72
297		156 Idem		10 19
298		159 Idem			IO 19
299		159 vto. Idem		*7 27
300		161 Idem		720 . . ¡
301		161 vto. Idem		*3 30
302		163 vto. Idem		4 04
303		165 Idem		4 28
3°4		165 vto. Idem		20 05
305		167 Idem		7 78
3°6		168 Idem		12 04
307		168 vto. Idem		8 41
308		169 Idem		*5 94
309		171 Idem		12 34
3*°		172 vto. Idem		29 23
31*		173 Idem ........	7 94
3*2		174 Idem		34 04
313		175 Idem ........	32 5°
3*4		175 vto. Idem		5 s*
3*5		176 Idem		8 41
316		177 Idem		22 41
3*7		177 vto. Idem		36 48
318		179 Idem		121 17
3*9		179 vto. Idem		21 74
320		180 Idem		*7 35
321		180 vto. Idem		19 12
322		184 Idem		34 26
323		184 vto. Idem		15 84
32 4		185 Idem		33 57
325		186 Idem 			16 94
326		187 Idem		23 56
327		188 vto. Idem		4 78
328		189 Idem		4 • •
329		190 Idem		22 45
330		190 vto. Idem		3 28
33*		191 Idem		3* 55
33 2		J91 vto. Idem		*5 34
333		192 Idem		20 . .
334		192 vto. Idem		30 . .
335		193 Idem 			47 50
336		193 vto. Idem		*3 7*
337		194 Idem		14 20
338		195 Idem		53 75
339		19:5 vto. Idem			19 60
340		196 Idem		30 •
34*		196 vto. Idem		*3 3°
342		197 Idem			17 86
343		198 vto. Idem		8 26
344		199 vto. Idem		12 77
345		200 Idem		17 44
346		203 Idem		3 33
347		204 Idem			20 97
348		206 Idem		*5 89
349		209 Idem		3 94
350		212 vto. Idem ........	'• 27 69
35*		214 Idem		20 55
35 2		2Í4 vto. Idem		25 73
353		216 Idem 			39 °5
354		217 Idem . 			100 . .
355		218 Idem		5 • •
356		220 vto. Idem		8 46
357		221 Idem			8 46
358		222 vto. Idem		5 • •
359		223 Idem		47 32
360		224 Idem		*4 19
36*		229 Idem		37 • •
362		230 Idem		37 • •
363		237 Idem		125 06
364		238 Idem		3126
3*>5		239 Idem		54 93
Administración principal de Hacienda y Aduanas de Matanzas-
Bienes del Estado.
Habiendo designado esta Administración principal de Hacienda, el día 17 del próximo mes de Febrero y las 2 de su tarde, para que tenga lugar ante la misma, con sugeción al pliego de condiciones que al final se inserta, la venta en. pública subasta de la casa calle de O’Reilly número 51 que fué de D. Pablo Olivera, mide 373 metros, 95 decímetros cuadrados, y linda por el frente, con la mencionada calle, por la derecha, con D. Pedro Delgado, por la izquierda, con el mismo Sr. Delgado, y por el fondo con los herederos de D. Vicente L. Torres, libre de todo gravámen, y tasada en la cantidad de 683 pesos 90 centavos oro, cuyo tipo ha de servir de base para la subasta, se publica en la Gaceta de la Habana y Boletín oficial de la provincia, paTa general conocimiento.
Matanzas, 19 de Diciembre de 1890.— El Administrador principal, M. Carvajal.
Pliego de condiciones.
Primera. Para hacer proposiciones á la subasta de la enta de la casa calle de O’Reilly núm. 51 de mamposte-
