*çry> vh
7VV 1
Administración Principal de Loterías.
FACTURA de 1,316 billetes correspondientes al sorteo ordinario número 1,042 que se ha de celebrar en el dia de mañana y que inutilizados por no haberse vendido en esta Administración se remiten á la Contaduría general de Hacienda,
Núm.	al	Nòni.	Son	Núm.	al	Núm.	Son
6576	y	6577	2	9022	»	9017	- 1
6628	1)	6629	2	9050	))	9449	1
6648	»		1	9590	))	9830	1
6693	al	6696	4	9883	))	9994	1
6712	y	6713	2	10139	))	10258	1
6755	»	6756	2	10875	»	10971	1
6790	)>	6875	2	11073	»	11122	1
7181	))		1	11439	»	12018	1
7240	))	7241	2	12070	))	12268	1
7254	))	7258	2	12640	))	12938	1
7274	))		1	13092	))	13279	1
7288	al	7290	3	13307	»	13707	1
7476	y	7521	2	13308	»	13653	1
7542	»	7587	2	14123	»	14381	1
7630	)>	7656	2	14382	))	14383	1
7697	al	7699	3	14386	))	14416	1
7721	y	7758	2	14710	i)	14932	1
7782	))	7789	2	14947	))	14966	1
7892	»	7982	2	15159	))	15383	1
7987	»	7988	2	15816	»	19895	1
21151	»	... .	i	20150	»	20366	1
21158	))	21159	2	20433	))	20514	1
21163	))	21164	2	20521	»	20741	1
21275	)r		1	1855	»	1904	1
21322	al	21324	3-*	2212	))	2421	1
21330	»		1	2422	))	2423	1
21342	y	21343	2	2424	)>	2425	1
21350	))	21354	2	2426	)>	2400	1
21377	))	21378	2	2427	))	2428	1
21390	))	21395	2	2429	»	2430	1
21461	))	21506	2	3113	»	3541	1
21537	))	21553	2	3641	))	3642	1
21602	))	21603	2	3643	))	3644	1
21606	))		1	3645	»	3646	1
21036	))	21637	2	3648	)>	3649	1
21652	))	21658	2	3650	))	3692	1
21660	»	21688	2	3906	))	3907	1
21724	al	21726	3	3909	))	4268	1
21763	))	21765	3	4278	»	4553	1
21785	y	21882	2	4998	))	2856	1
21887	I)	21889	2	6342	)>	6352	1
21891	al	21894	4	6921	))	6930	1
21914	y	21921	2	7017	»	7112	1
21985	al	21989	5	7140	))	7474	1
21991	))		1	7734	))	7774	1
22047	y	22069	2	7878	))	21157	1
22076	»	22080	2	21782	))	22361	1
22103	))	22104	2	22507	))	22508	1
22109	y	22110	2	22518	))	22564	1
22116	d		i	23305	»	23335	1
22191	al	22199	9	23483	))	23484	1
22230	y	22231	2	23574	»	23819	1
22363	))		I	23844	))	24356	1
22368	al	22370	o ->	24358	J)	24444	1
22385	))	22387	3	24454	))	24643	1
22394	))	22424	2	24677	»	24822	1
22443	»	22444	2	24835	»	.. „	i
22461	))	22462	2				
22471	))	22472	2	Fracciones.			
22497	al	22500	4				
22583	y	22584	2	8563..			14¿40
22642	))	22643	9 mi	8564..			14/40
22645	))		1	8303 .			6/40
22668	al	22670	O >.)	8808..			8/40
22672	y	22679	9	9830..			20/40
22737	al	22740	4	9844..			6/40
22778	))	22780	3	10139.			4/40
22820	»		1	10258 .			4/40
22824	y	22825	2	11439 .			10/40
22842	»		1	12721..		.......	4/40
22865	»	22866	2	12722..			4/40
22918	al	22920	3	12723..			4/40
22966	y	22967	2	12724..			4/40
22984	al	22990	7	12725..			4/40
23039	y	23041	2	i 12726..			4/40
23044	al	23046	3	i 12727..			4/40
23048	))	23050	3	12728..			4/40
23068	y	23069	2	12729			4/40
23076	B		1	12730-			4/40
23078	al	23080	3	13047..			4/40
23084	»		1	14123			16/40
23090	»	23092	3	1 14710.			10/40
23142	y	23144	2	1 15383.			8/40
23147	al	23149	3	20741.			14/40
23154	y	23163	2	142.			14/40
23165	al	23167	3	1780.			10/40
23179	y	23180	2	1855.			4/40
23189	))	2319o	2	2422			13/40
23238	»		i	2423.		..........	13/40
23262	al	23264	3	2424.			13/40
23336	))		1	1 2426..			13/40
23341	y	23342	2	I 2427-			13/40
23344	»	23359	9	2428.			13/40
23425	»	23426	2	2429..			13/40
23467	al	23471	5	1 2430.			13/40
23492	I)	23491	3	2856.			15/40
23501	))	23503	3	3641.			16/40
23508	))	23510	3	3642.			16/40
23515	))		1	3643.	....					16/40
23534	))	23536	3	3644..			16/40
23551	Y	23568	2	3645.			16/40
23573	))	23592	2	3646.			16/40
2360S	))	23609	2	3647.			16/40
23651	al	23654	4	3648.		. . 		16/40
23673	»	23676	4	3649..			16/40
23681	y	23682	2	3650 .	• • ••				16/40
23690	»		i	4265			5/40
23741	al	23744	4	4471..			6/40
23782	))	23785	4	6590..			10/40
23827	V	23828	2	7140..		t, . # 			10/40
23S67	al	23869	3	24174..			5/40
23871	»	43878	8	24186..			9/40
Al frente				1112		Total			1316
Importa esta factura, mil trescientos diez y seis billetes.—Habana y Julio 25 de 1870.—V9 Bv—El
.-| rr-fimwwrgniMOTir in.. - r—-—-
Administrador principal, Manuel Romano.—El Interventor.—P. S.—Manuel Martinez Espíritu,
Lo que de orden del Excmo. Sr. Director General de Hacienda se inserta en la Caceta Oficial, para conocimiento del público.
Habana 25 de Julio de 1879.—Manuel Romano.
Junta Protectora de Libertos de la Provincia de la Habana.
Desdo el dia treinta y uno del corriente mes de Julio hasta el dia veinte y nuevo del entrante Agosto, de once do la mañana á cinco de ia tarde estarán de manifiesto en la Secretaría de esta Junta, calle del Empedrado número 7, los registros formados para la ultimación del padrón do esclavos de la Provincia, cuyos registros comprenden los quo están incluidos en los censos de 1867 y ¡1870, y los que sólo aparecen en uno de los dos, á fin de quo los que se consideren perjudicados puedan hacer las recias maciones conducentes á su derecho dentro del mismo término.
De orden del Excmo. Sr. Presidente se publica la presente convocatoria en todos les periódicos diarios de esta Capital por los mismos treinta dias para general conocimiento.
Habana 24 de Julio do 1879.—-El Secretarlo, B. Hernández.
Por el presento se convoca al moreno José, esclavo que fné de D. Diego y de D. Cecilio Plasencia y antes do D. (imllermo Murdoch, dueño del cafetal «Recurso.» ubicado en San Nicolás, jurisdicción de Guiñes, á cuya dotación perteneció, para que se presente en la Secretaría de esta Junta, Empedrado número 7, á fin do que so le provea de cédula de libre; pues como tal ha sido deeluradojen virtnd de habérsele incluido indebidamente cu el censo adicional de 1871.
Y nara ni publicación en quince números consecutivos de la Gaceta oficial libro ésta, de orden del limo. Sr. Presidente.
Habana Julio 14 do 1879.—Bienvenido Hernández, Secretario.
TERCERA SECCION.
Jefatura de Presidios de la Isla de, Cuba.
Departamental de la Habana.—Mayoría.
Acordado por el Excmo. Sr. Gobernador General on 15 del corriente se saque por segunda vez á remate público el suministro del maíz que pueda cousumir el ganado del presidio do esta plaza en todo el presente año económico, el Sr. Coronel Jefe, ha dispuesto se anuncie al público para que los que quieran hacer proposiciones lo verifiquen con sujeción al pliego de condiciones y modelo de proposiciones publicado en la Gaceta oficial de esta capital del dia 17 de Junio próximo pasado, fijando para dicho acto el primero de Agosto próximo á las nueve de la mañana en ol despacho de S. Sría., situado en el Cuartel de este presidio yen cuyas oficinas estarán también de manifiesto desde las diez de la mañana hasta las cuatro do la tarde el referido pliego de condiciones.
Habana y Julio 16 de 1879.—El Mayor 29 Jefe, Manuel Garrido.
Comandancia general del distrito de la Habana y Gobierno Militar de la plaza.
D. León Tegerina Blanco, Teniente Coronol graduado Comandante de Infantería y Fiscal de la Plaza.
Edicto;—Debiendo diligenciar testimonio do orden superior eu los paisanos D. Antonio Pascual y D. Bonifacio Gandara, contralislas que fueron del Ejército on el año do 1873 perteneciente á sumaria seguida on Holguin.
Y usando de las facultades que conceden las Reales Ordenanzas de S. M. á los Fiscales de Ejército, por este mi primer edicto, cito llamo y emplazo á los expresados paisanos prra que en el término de 30 dias á contar desde su publicación so presenten en esta Fiscalía sita on el Pescante del Morro y de no hacerlo así so les irrogarán los perjuicios á que dieren lugar.
Habana 21 de Julio de 1879.—-El Teniente Coronel Comandante Fiscal, León Tegerina.
Ejército de Ultramar en Cuba.
Regimiento de Orden Público.—Coronela.
D. Podro L. Naveira'y Espiñeira, Alférez Abanderado del Primer batallón del regimiento do Orden Público.
Ignorándose el paradero de las morenas Dorotea Glos y Luisa Carballo, yucatoco Gabino Andrés del Campo, y paisano D. Francisco destierro, á quien debo tomar declaración en la sumaria que estoy instruyendo contra el moreno Antonio Carballo Pío por agresión á una pareja de este instituto el dia 18 do Mayo anterior.
Usando do las facultades que en estos casos conceden las Reales ordenanzas por el presente, llamo y emplazo por este segundo edicto á los individuos citados para el Cuarto do Banderas do la Guardia do Prevención do este batallón en el Cuartel de la Fuerza donde deberán presentarse en el término de veinte dias á contar do la fecha para ser oidos y dar sus descargos eu la causado referencia,y en caso de no presentarse se prescindirá do ella v se seguirá la causa.
Habana 21 do ‘Junio de 1879.—El Alférez Abanderado Fiscal, Pedro L. Naveira Espiñeira.
Subinspcccion do Infantería y Milicias.
El soldado Gerónimo Carazoy Pastor, licenciado dol batallón Cazadores de León, se servirá presentarse en he ra hábil en la 4a Sección de la Sub-Inspeccion de Infantería para recojer un documento quo lo pertenece.
Habana lo do Julio de 1879—Do O. de S. E.— El Coronel Secretario, Joaquín Reixa,
Regimiento de Ingenieros.
Fiscal.
D. Bautista Valles Visedo, Alférez de la cuarta Compañía dol primer batallón del Regimiento de Ingenieros y fiscal nombrado para actuar en esta sumaria por el Sr. Coronel Jefe Principal del mismo.
Habiéndose ausentado el dia once del mes de Julio del año do mil ochocientos setenta y nueve del Castillo del Principo el soldado de la cuarta Compañía del segundo batallón del mismo, Baldomcro Percta Roig, á quien estoy siguiendo sumaria por el delito do segunda deserción; y usando de la facultad que el Ruy (q. D. g.) tiene concedido para estos casos por las Reales ordenanzas á los oficiales de su Ejército; por el presente llamo, cito y emplazo por este mi primer edicto al mencionado indiv.duo señalándole la Guardia do Prevención del expresado Cuerpo establecida en la fortaleza expresada; en donde deberá presentarse en el ) reciso término de treinta dias contados desde esta fecha, á manifestar sus descargos en la sumaria do referencia; si así lo verificase será oido, y se le administrará cumplida justicia y de no comparecer so procederá á lo que haya lugar.
Castillo del Principo 26 de Julio do 1879.—Bautista Valles.—Por su mandato.—El Escribano, Cristóbal Tomás.
Mayoría general del Apostadero de la Habana y Escuadra de las A nidias.
D. Ramón Auñon y Yillalon, Teniente Coronol do infantería do Marina. Teniente do navio de primera clase y segundo Comandante de la Provincia marítima de Santiago de Cuba.
Hago saber: que habiendo fallecido en este Puerto el Contramaestre de la Barca Española «Susana,» Antonio Artabí, natural de Mundaca, provin-
cia de Bilbao y dejado algunos alcances de sueldos anteriores, so convoca á los que se consideran con derecho á la herencia para que previa ¡a justificación del mismo so jrosenten á percibir lo que le correspond», personalmente ó por medio de apoderado.
Sanfr.ago de Cuba 14 de Julio do 1879.—Ramón Auñon.
Orden de la Plaza del dia 28 de Julio de 1879. Sorvieio para el 29.
Jefe de dia.—El Sr. Coronel de Ejército Teniente Coronel de Artillería á pió D. Eduardo Martin.
Visita do Hospital.—Regimiento Infantería de Cuba.
Capitanía General...........
Castillo de la Punta........
Cáreer exterior.............
Hospital Militar [esterior]_
áciñcrnoiiniVar:;;;.:.::::::::: ilo,\BaAa,11?nie.!Li
Banco Español...............
Administración Económica...
Monte de Piedad.............
Capitanía del Puerto........
Prevención de Voluntarios...
Principal...................í Regimiento Infante-
Hospital Militar interior...| ría de Cuba.
Batería de la Reina......... Artillería á pió.
Castillo del Príncipe.—Ingenieros de Ejército.
Ayudante de guardia en el Gobierno Militar.— El 29 de la Plaza D. Mariano Martin.
Imaginaria en idem.—El 39 de la misma, D. Tomás Mansilla.
El Coronel Sargento Mayor, Recaño.
geros Voluntarios.
Colegí« »le Corredores y ¡Votarles comerciales de la llabana.
CAMBIOS.
Espalis.................—Nominal.
Inglaterra..............—20} á 21} P. 60 dlv.
f 6} á 7 P. 60 d[v.
FrRncm.................. | 7 & 7} P. 3 d[v.
Alemania................—Nominal.
ITuIarlrw TTniílna	/ 9J á 10} P. 60 d;V.
ínstanos uníaos.........\i0} a 11} P. 3 d;v.
Oro español.............—115} 6115}	P,
Descuento mercantil.....{ I y 10 oro	anual
MERCADO EXTRANJERO.
AZUCARES.
N?12 7 á 7} rs. arroba oro., según clase.
CENTRÍFUGAS DE GUARAPO.
De 7} á 8 rs. arroba. Según envase, polarización y número.
AZUCAR DE MIEL.
De 5} & 6} rs. Idem.
AZUCAR MASCABADO.
De 6} 5, 6| rs., según clase.
SRES. CORREDORES DE SEMANA.
DE CAMBIOS Y ACCIONES.
D. Angel Faria, dependiente auxiliar del colegial D. .1. B. Cantero.
D. Francisco Soler y Faure, idem del id. D. Francisco Soler y Lacy.
DE FRUTOS.
D. Marcial San Miguel.
D. Ruperto Iturriagagoita.
Habana 28 de Julio de 1879.—El Sindico interino, M. Nuñez.
CUARTA SECCION.
OFXCZ3MA3 SSX. mVBRZGOL
Administración Económica de la Provincia de Ma tanzas.
Sección Administrativa.—Consumo de ganado.
El Excmo. Sr. Director general de Hacienda se ha servido disponer se proceda a la subasta del Consumo de Ganado de la Jurisdicción Municipal que so expresa á continuación, bajo el tipo queso indica y con sujeción al pliego de condiciones que se inserta al pié de este anuncio.
Dicha subasta tendrá lugar en el dia que se expresa á las doce en punto de su mañana siendo simultáneo en la Administración Económica de esta ciudad y en la Sub-Direccion general de Hacienda.
Distrito municipal.	Tipo para la subasta.
Matanzas y su jurisdicción. $44,000 oro alaño.
Miércoles 20 do Agosto de 1879.
El pliegQ do condiciones se publicó en la Gaceta del dia 27 del corriente.
Junta local de Sanidad de Regla, Secretaria.
En cumplimiento de lo quo prescribo la regla 1? do la disposición 15H de la circular del Gobierno Superior Político de esta Isla, de 30 de Setiembre de 1879 y sobro la quo llama la atención de los Presidentes de las Juntas locales de Sanidad el Excmo. Sr. Gobernador Civil de la Provincia con fecha 16 de los corrientes so convocan aspirantes a la plaza de Secretario de la Junta local de Sanidad de esta población, por el término de 30 dias á contar desde el de la fecha de la publicación;
Los aspirantes deberán ejercer la profesión di Médicos-Cirujanos, cuyos títulos ó copia legalizada presentarán en esta Secretaría con todos los demás documentos que crean convenientes.
Regla y Julio 19 de 1879.—El Secretario interino, Antonio R. Parra,
Junta Provincial protector« de Libertos de Santiago de Cuba.
Secretaría.
En sesión ordinaria celebrada el veinte y ocho dol actual, se acordó declarar libro, como comprendida en los beneficios del artículo 19 de la Ley de 4 ie Julio de 1870 á Ursula Prometa de D4 Caridad de su apellido, y quo se proceda á entregar á la interesada el documento acreditativo de su nuevo estado, si pasado el término do treinta dias que conceden las disposiciones vigentos, no se interpone porios que se consideren con derecho á dicha esclava el recurso de apelación oportuno.
Y para su publicación en la Gaceta de la Habana on cumplimiento de lo acordado, libro la presente en Cuba á 30 do Junio de 1879.—El Secretario, Enrique R. Izquierdo.
Junta Provincial Protectora de Libertos de Puerto-Príncipe.
Sccrotaría.
Declarado libro como comprendido on el artículo 19 de la Ley de abolición gradual el moreno Justo Puig, esclavo de los herederos de D. Manuel Agustín Mofina, ha intervenido con su conformidad la persoua á cuyo cargo estaba el esclavo, y deseando la Junta legalizar lo hacho por el medio mas expedito, en obsequio del liberto de derecho, ha acordado so convoque por el término de treinta dias al que so considero perjudicado con esa declaratoria, para quo establezca las reclamaciones convenientes, con aporcimiento do que pasado ese término, se considerará ejecutoriado el acuerdo y se proveerá al moreno Justo Puig de su credencial de liberto.
Para su inserción en la Gaceta de Gobierno, libro el presonto eu Puerto-Príncipe á 11 de Julio de 1879.—El Secretario, oulian Campo.
Junta local de primera enseñanza de Cimarrones.
Debiendo proveerse por oposición las plazas do directores do las dos escudas mnnicipaíes incompletas do nueva creación para niños de color de am-
bos sexos, según está prevenido dotada cada una anualmente con 400 pesos de sueldo, 100 para alquiler de oasa y 50 pesos para gastos de material todo en oro; la Junta de mi presidencia ha acordado se convoquen aspirantes á dichas plazas por el término de un mes á conta • desde esta fecha; á fin de que los que deseen optar á ollas presen) en sus solicitudes documentadas dentro del plazo señalado; en la inteligencia que el acto de las oposiciones, tendrá lugar el 16 del próximo mes de Agosto á las seis de la tarde.
Y para conocimiento general se anuncia por medio de la Gaceta de la Habana y Boletín oficial de la Provincia de Matanzas.
Cimarrones 16 do Julio do 1879.—Domingo Cadenas.
Ilustre Ayuntamiento de Cárdenas.
Presidencia.
La Ilustre Corporación en oabildo ordinario celebrado en 21 dol actual acordó saoar á pública licitación la elaboración de cigarrillos por los presos de la cárcel de esta ciudad, bajo las condiciones siguientes:
1. =* El contratista pagará al contado un peso cuarenta y cinco centavos en billetes por cada tarea de 5064 cigarrillos que le entreguen elaborados.
2.13 El contrato empezará á regir desde el dia en que comunique el rematador, hasta igual fecha del año próximo.
3.85	Está el contratista obligado á proporcionar: si fuese necesario, durante el año todo el trabajo que pueda ser desempeñado por treinta presos cigarreros, que es el máximun de los que se calcula podrán existir en la cárcel de esta ciudad, partiendo de la base del resultado que arrojan los registros de presos pertenecientes al último quinquenio.
4.	* Durante el año de esta contrata no so admitirá en la cárcel trabajo de ninguna otra fábrioa.
5.85	Ei contratista de acuerdo oon el Alcaide de la cárcel elijirá uno de los presos que merezca su confianza para que cuide de la distribución y orden del trabajo que se confíe á los oigarreros, podiendo tratar y entenderse con ol encargado del trabajo en lo que hace al mismo, cada vez que lo orea conveniente, siempre oon la intervención del alcaide. El contratista por vía de gratificación satisfará al alcaide la suma d8 treinta y cinco contavos en billetes por cada tarea de cigarros que elaboren los presos, como justa retribución del servicio que le proporciona el aprovechamiento del trabajo que efectúan los presos on dicho establecimiento y do la intervención que el mismo ha de tener.
Y en consonancia con lo acordado se anuncia ol remate en la Gaceta oficial de la Habana, Boletin oficial de la Provincia, Diario y Boletin mercantil de esta ciudad, durante el plazo de quince dias quo empezará á contarse desdo esta fecha, á fin de que los que so interesen presenten sus proposiciones en pliego cerrado aljSr.Presidente dentro del término fijado.—Cárdenas 16 de Julio de 1879.—El Secretario interino, Joaquín Echagüe.
Aprobado por ol Ilustre Ayuntamiento an cabildo ordinario celebrado el dia 21 del mes próximo pasado, el pliego de condiciones formado por la Junta Munioipal, para contratar en pública subasta el propio matadero y corral público de esta ciudad, durante el año económico de 1879—80; y de conformidad «on dicho acuerdo se ha servido disponer el Sr Presidente que la subasta tenga lugar ante dioha Junta el dia 17 del próximo mes de Agosto, á las doce do su mañana en la Sala Capitular, con sujeción al plegó de condiciones que se inserta á continuación por einoo veces de cinco en cinco dias en el Diario de Cárdenas, Boletin de la Provinoia y Gaceta oficial de la Habana, para conocimiento general.
Cárdenas 17 do Julio de 1879.—El Secretario interino, Joaquín Echagüe.
Pliego de condiciones formado por la Junta Municipal, para el remate del propio matadero y corral público de esta ciudad, durante el año económico de 1879—80.
1.	rt El propio matadero y corral público consiste en un real fuerte por cada res menor y dos reales fuertes por cada una mayor que se introduzcan en el matadero, y cuatro reales fuertes también, por matar y beneficiar cada una de las primeras y un peso por cada una de las segundas.
2.	* La duración del contrato será la del sño económico de 1879—80.
3.05	El rematador podrá verifioar la recaudación por sí ó por medio de agente que nombrará; y entregará mensualmente al Municipio la cantidad do quinientos pesos oro, adelantados, y caso do quo el contratista dejare de efectuar el pago anticipado, so ordenará el cobro con arreglo á lo prevenido en el articulo 35 de la instrucción do 10 de Julio do 1856, para la administración de fondos do Propios y Arbitrios de esta isla, y agotada esta vía sin resultado, se aplicará al pago el depósito hecho y que explica la condición 4. 3 quedando de hecho rescindido el contrato, siondo de cargo del contratista saliente los gastos de publicación de anuncios, papel de reintegro y demás que se ocasionen en la nueva subasta.
