immmmmmm i........1 "i...
Admití stracion Princip.l de Loterías de la Isla de Cuba.
Factura de 821 billetes correspondientes al sorteo ordinario núm. 1041 que se ha de celebrar en el dia de mañana y que inutilizados. por no haberse vendido en esta Administración se remiten ú la Contaduría General de Hacienda.
Núm.	al	Núm.	Son.	Núm.	al	Núm.	Son.
15621	ni	15624	4	19622	))		1
15690	))	15692	3	19648	y	19649	2
15696	y	15699	2	19652	al	19657	6
16038	))	16039	2	19665	y	19667	2
16058	)>	16059	2	19718	J)		1
16063	))	16064	2	19721	»	19722	2
16176	))	16178	2	19729	))	19730	2
16183	al	16186	4	19742	))	19780	2
16200	y	16206	2	19802	al	19804	Q O
16226			1	19814	j>		1
16229	))	16230	2	19816	»	19818	3
16251	))	16269	2	19826	y	19827	2
16271	))	1C274	2	19829	))	19830	2.
16278	))	16287	2	19836	al	19843	8
16292	»		1	19855	V	19863	2
16294	»	16295	2	19880	))	19881	2
16317	al	16320	4	19934	))	19935	2
16339	»	16341	3	19943	))		1
16352	y	16361	2	19952	al	19954	3
16417	))	16433	2	19956	»		1
16637	))	16641	o tmi	19961	»	19964	4
16643	»	1C644	2	19976	»		1
16652	))	16680	2	20026	y	20027	2
16709	))	16710	2	20035	al	20037	o O
16724	))	16725	2	20047	y	20054	2
16727	»		1	20058	))	20059	2
16734	»	16735	2	I 20063	))	20101	2
16770	))	16791	2	120103	al	20109	7
16793	al	16797	5	! 20113	))		1
16806	))	16809	4	20116	»	20119	4
16834	))	16813	10	20129	y	20130	2
16851	y	16859	2	20132	))	20147	2
16891	al	16895	5	20153	))	20156	2
16898	y	16917	2	20175	»		1
16948	))		1	20182	al	20191	10
16978	al	16980	3	20206	»		1
16983	y	16986	2	20208	y	20209	2
16994	))	16995	2	20211	))	20213	2
16997	al	16999	3	20219	))	20230	2
17024	»		1	20235	)>	20238	2
17031	»	17032	2	20247	))	20256	2
17057	»	17079	2	20276	))	20282	2
17138	»	17146	2	¡ 20285	))		1
17159	»	17161	2	i 20298	))	20299	2
17163	»	17166	2	! 20322	»	20325	2
17168	»	17189	2	! 20330	))	20332	2
17206	»	17226	2	j 20335	al	20339	5
17230	»	17243	2	! 20347	»	20349	3
17252	»	17253	2	! 20251	y	20362	2
17272	)>	17282	2	20370	»		1
17234	»	17286	2	1 20390	al	20393	4
17288	»	17294	2	! 20499	y	20509	2
17296	»	17297	2	i 20521	al	20526	6
17329	))	17351	2	! 20532	y	20534	2
17472	»	17473	2	i 20545	))	20546	2
17478	»		1	: 20548	))	20562	2
17495	al	17497	3	20593	al	20597	5
17499	y	17502	2	'20601	V	20603	2
17513	))	17518	2	20605	)>	20662	2
17520	))	17526	2	20676	al	20680	5
17575	»	17576	2	20693	»	20700	8
17578	))	17579	2	20721	y	20722	2
	Al frente.,.		347		Al frente...		741
i' ni'iTi ii—tfiin ~	¿c*
Núm.	al	Núm.	Son.	Núm.	al	K lira.	Son.
	Del frente...		741				
					Del frente...		CC 00
20730	y	20762	2				
20763	))	20776	2	23938	y	23941	2
20778	))	20779	2	23971	))		1
20795	»				1	24225	Ì)	24226	2
20824	))	20826	3	24231	»	24232	2
20S33	al	20847	2	24253	))		1
20865	»	20867	2	! 24288	))	24289	2
20886	»		i	¡24356	»	24357	2
20894	»	20895	2	24366	»	24497	2
20898	»	20899	2	'24561	al	24562	2
20918	»	20919	41	! 24569	y	24570	2
20923	al	20927	5	¡24579	al	24583	5
20932	»	20934	o O	24636	y	24637	2
20837	y	20846	2	24679	»		1
20978	))	20999	2	24732	))	24733	O LÀ
23482	))	23483	2	24746	al	24750	5
23567	»	23568	2	24805	y	24806	2
23581	al	235S3	3	24833	))	24834	2
23831	y	23832	O LÀ	24991	»		i
	Al frente ..		783		Totai			821
Importa esta factura ochocientos veinte y un billetes enteros.— Habana y Julio 10 de 1879.—El Interventor, Enrique Lamben. — V9 B° — El Administrador principal,’ Manuel Romano.
Lo que se inserta por medio de la Gaceta Oficial de orden del Excmo. Sr. Director General de Hacienda, para conocimiento del público.
Habana 10 de Julio de 1879.—Manuel Romano.
Administración Locsl de Aduanas.
El lunes 14 del actual á las doce do su mañana se rematarán en el almacén de averías, los efectos siguientes:
1	barril conteniendo 21 docenas do medias botellas do cerveza, y 11 de botellas, valorado on junto en 8 posos 25 centavos oro.
Una caja con 24 botellas y 6 barriles vino do Jeroz valorados en total en 66 posos oro.
2	cajitas conteniendo 2 balanzas, valoradas on 20 pesos oro¡ todo cuido en pena de abandono, y llenándose al efecto las formalidades prevenidas.
Habana Julio 9 de 1879—Celestino Barca.
El lúneslldel actual á las doce de su mañana, se rematarán en el almacén de averías de esta Aduana 200 caja» de higos procedentes dei bergautin español «Paquita »
El siguiente martes,y en dichos almacenes, el de 2,242 garrafones ginebra procedente de Amberes en la barca española «Susana.»
Habana 10 de Julio do 1879. — Celestino Barca.
El lunes 14 del actual á las doco de su mañana so romatarán en el almacén de averías una eaj’a conteniendo una docena de botellas do vinotinto común eakla on pena do abandono, vulorada en 3 pesos oro.
Habana Julio 9 lo 1879.—Celestino Barca.
lVlont-3 de PiedaL
n««MI
Por esta mi segunda carta de edicto, cito, llamo y emplazo á D. Francisco González y González, natural de Madrid, de estado soltero, de 36 años de edad y camarero que fuá de! vapor correo «Coi uña» para que se presente en ésta Fiscalía á dar sus descargos en la causa que se le sigue por desorción do dicho buque; soguro de que si así lo hieiero se le oirá y administrará justicia, y do no verificarlo so lo do clarará rebeldo contumaz é incurso en las ponas que marca la Ley.
Habana Julio 8 do 1879.—Juan Maria Butler.
1 onton Guadiana.
Comisión Fiscal.
i>. Pedro dol Peral y Caballero, Teniente do Navio de la Armada, 29 Comandante dol Ponlon Guadiana y Fiscal do una causa.
Por el presente llamo al fogonero que fue do la Armada, Manuel López García, para que en el término de veinte dias, á contar do la publicación de esto edicto, so presente en esta Comisión Fiscal para hacerle entrega de los sueldos que devongó en la fragata «Zaragoza» durante los meses de Abril y Mayo de mil ochoelontos sotonta y siete.
Habana Junio 30 do 1879.— Pedro del Peral.— Por mandado de S. Sriy., Miguel Noroñi.
Ejército de Ultramar en Cuba.
Eagimionlo de Orden Público.—Coronela.
D. Manuel León Tarnayo, Capitán Teniente del Bale llon de Orden Público.
Por esto jni segundo edicto y usando de las facultades concedidas á los Oficiales dol Ejército por las Reales Ordenanza?, cito llamo y emplazo para que on el término de" veinte ditts á contar desde la fecha de sn publicación, so presento on esta Fiscalía Militar, callo do San Isidro número 37 con objeto do dar su descargos, el moreno Iliginio Díaz, á quien estoy sumariando por el dolito do atentado á mano armada contra dos guardias do esto batallón, en la inteligencia que do no verificarlo en el plazo señalado, so soguiiá la causa y sentenciaiá en rebeldía.
Habana 27 de Junio do 1879 —Manuel León.
D. Cárlos Real y Poríella, Alférez dol primer batallón del Regimiento de Orden Público. Habiéndose ausentado de esta Plaza el guardia do 29 clase de esto Batallón, Antonio Fuontcs Casero á quien me hallo sumariando por el delito de primera deserción, por el presente, cito, llamo y emplazo, usando de las facultades que concedeu las Reales Ordenanzas á los Oficiales del Ejército, al ox-presadó guardia y por esto mi primor edicto para quo dentro del término do irointa dias á contar desdo la publicación del presento edicto comparezca od la guardia do Prevención de este cuerpo, sita en el Cuartel de la Fuerza á dar sus descargos, y de no' ser así se lo seguirá la causa y se le sentenciará eD robeldía.
Habana 5 de Julio de 1879.—Cárlos Real.
Dirección.
En las almonedas celebradas los días 3,10 y 17 de Mayo y 28 de Junio últimos, han sido rematados á favor del mejor postor, según anuncio por monor publicado on la Gaceta oficial de 19 do Marzo y 20 de Junio último las alhajas cuyos lotes se expresan á continuación; resultando un sobrante á favor de los dueños de ellas, después de deducir do sus pro duelos el capital del Monte é intereses devengados hasta la fecha del rem it<?. Lo que se anuncia al pú blico por este medio á fin de que los interesados ocurran á este estt.b'eeimiento con la papeleta credencial á percibir lo que respectivamente les corresponda, á saber:
' Síí
M » M M ti M M bO l-S M W L-0 -H I i—* t—1- -i ►—» o i—1 i—11—1 i—o o co l s- y WCOMOOHWhmOüiOOCí I S“
OO <1 W W CO W -»J lü O)	CO I 'r% ea-
y 0 4*lt*^r-OOHlji.b5HW05 *	**
CT	;;	 » e-' e ez 50	2.	<3 ? ts- o o 3 . w IO «H U> » o. a. f1 p- (- 5®	Fecha del remate. 1 '		
OO		 •^1 P : : -, : : i : i ; ; mm; o J . CNH-t. O^OSCO. • • • S . .	rj a> r/j O . m	OBC	-rs T
S • • • • • • • o» • ; • • ^ ¡ : c! o • • • ■	o rt CD		£=— «Ó-
?? ^ : : : : : : » to to . « .... s -j o : ? -i : • ¡ m oí m • 1— wl • • • . • • OO 05 O üt	03 O 03	w p tr< tí	es- er» t=s
	O QD	tí m	
h—4 ►—* -j—.	¡Pesos. 				o tí	« er» * GO <rs> .
04 OO -^1 IO cn to «<1 I-* to -“î to oooü'oo^œwü'oioo	C rt- no		S ’ <rs>
to • : co os m o t>o m » : 05 LO O* O LO tO • • H fJ H* 50 H	Pesos.	i—i tí tí tí	o- <r» <=r 	: ■-* 03 . i
Ü« KJ CO Cn OO I O tO CO -T O» CO OO O © O W O O CO IO H wto o o 1	?	tí UX	^ §
Peal Academia de Ciencias médicas, Físicas, y Naturales de la Habana. El domingo 13 del corriente, á las doce, celebrará esta Academia sesión pública ordinaria on su local alto, callo de Cuba (ex-convento de San Agus- tin.) , , Ordmdeldia.—19 Informo en un caso de herida penetrante do pecho; por ol Dr. Aguilera, [h'jo] 	29 D formo en un caso de contusiou del cráneo y ubcesos múltiples del hígado; por el Dr. Castellanos,—39 Informe sobro la influencia do la logia sódica en la muerto de unos caballos; por el Dr. Zamora.—49 Reglamento pava el Instituto Central do vacuna por el Dr. Vtildes.—5o Informe sobre honorarios médicos por el I)r. Govantes. Habana Julio 11 de 1879.—El Secretario genera', Antonio Mestre.  			
TERCERA SECCEON.
Comandancia Militar dr Marina.
Fiscalía de causas.
Por esta mi segunda carta do edicto, cito, llamo nplazo por ol término de nueve dias, contados lo la fecha, á los manilos Julio Bosay y Juan onz ', cuyas generales so ignoran, los cuales fue-inuriñeros de la barca española «Cabiosos,» para so presenten en la Cárcel pública de esta ciudad «cargarse do la culpa quo los resulta en la causa so les sigue como desertores de dicho buque seis que si así lo hicieren se les oirá y administra-astieia y de no verificarlo so los declarará on roía.
Habana 4 do Julio de 1879.—Juan María Butler.
Comandancia General de Marina del Apostadero de la Habana.
D. Federico José María Milagros, Ayudante Militar
do Marina del Júcaro.
Consecuente á expediento quo me hallo instruyendo por extravío do la licencia absoluta que se le expidió por la Comandancia General del Apostadero de la de la Habana en 28 do Junio do 1874, á favor de D. José Soriano Bonett, li'jo de Francisco y de Agustina, natural do Vinacarló, y de la inscripción do Vinaroz, he dispuesto que por el término de quinto dia, so hagan las publicaciones en I03 periódicos Diario do la Marina y Gaceta oficial, anulando el citado documento, para poder proveer al interesado dol duplicado correspondiente.
Júcaro 2 de Junio de 1879.—Federico José María Milagros.
Orden de la Plaza del dia. 12 de Julio de 1879.
Servicio para ol 13.
Jefe do dia.—El Comandante del 3or. Batallón do Voluntarios D. Julián Sólórzano.
Visita de Hospital.—Regimiento Infantería de Cuba.
Capitanía Genoral y Prevención de Volúntenos. —3er. Batallón do Voluntarios.
Parada.—Cuerpos do la guarnición.
Ayudautc do guardia en el Gobierno Militar.— El 19 do la Plaza D. José Martínez.
Imaginaria en idom,—El 39 do la misma, D. Juan Aymat.
Nota.—Retreta el limos en el Parque Central por la músioa del Regimiento Infantería da Cuba.
El Coronel Sargento Mayor, Recaño.
Hospital Militar del Principe.
, Junta Económica.—Anuncio.
No habiendo tenido efecto por falta de rematantes la licitación verbal anunciada para este dia para el suministro de carnes, aves, huevos, leche de vaca y de burra, panetelas y bizcochos » ecesarios á estos Hospitales en el mes da Agosto próximo, so avisa por medio del presouteá ias personas quo quieran interesarse en la misma haberso fijado una segunda licitación quo tendrá efecto á las doco del dia dioz y nuevo del corrienlo para quo acudan á hacer proposiciones escritas ó verbales ante la Junta Económica de esto Establecimiento, pudiendo verificarlo en los dias antorioros para informarse de las condiciones á quo deben sujetarse las mismas y baso3 que se consignan en la rolaoion do precios límites.
Los precios de los artículos so marcarán en oro ó su equivalente en billetes del Banco Español de la Habana al tipo que fije el Gobierno en ol mes del suministro, ol peso do ellos por arrobes y kilogramos en los víveres, y arrobas y linos en los líquidos.
La expresada licitación so mantendrá abierta hasta la uñado la tardo, dosde cuya hora en ado-lanto no so admitirán más proposiciones quo las ya presentadas y será adjudicado ol suministro, si lo tuviere á bien la Superioridad á la quo resulto ser mas benoficicba á los interoses del Estado, en vista de la comparación quo do el las se hará á presencia do sus autoros; on el caso quo hubiere dos ó más iguales, se admitirán pujas á la baja por solo el plazo de diez minutos.
Los autores do las proposiciones que obtengan la aprobación do las suyas respectivas, y quo por lo tanto suministren en ei mes próximo á los Hospitales de esta Biaza en los ramos de su comercio, quedan obligados a satisfacer inmediatamente á la Redacción de la Gacota oficial ol importo do los anuncios que aquella hubiero insertado en su periódico, respecto á dichas licitaciones, verificándolo del total do la cantidad á quo aquellos asciendan si uno solo fueso ol que suministrase todos los artículos de la licitación y por todos los que tomaren parte en ella á proratóo do las cantidades á qu^ so calculo ascienda ou el mes su suministro, si esto so efectúa por muchos y por ramos separados.
Habana 10 do Julio de 1879.—El Secretario,
José Zaragoza.
Junta Superior Económica del Cuerpo de Sanidad Militar.
Consecuente á las diligencias sumarias quo me hallo instruyendo con motivo de babor aparecido cu lamañanadel cinoo dol presonto mes on aguas del muelle de Lnz y á la popa do! vapor «Clara» el cadáver do un hombro blanco desconocido, vestido solamente con una camisa blanca hecha girones: he dispuesto en dichas diligencias se convoque por medio do los periódicos Diario de la Marina y Gacota oficial á las personas que conozcan.al referido individuo así como también á los que tengan conocimiento del hecho y sus circunstancias para que dentro do quinto dia contado desdo su primera publicación so presen ten en esta Fiscalía de causas á declararlo; seguros de hacer un gran servicio á la buena Administración de justicia.
Habana Julio 9 do 1879.—Juan María Butler.
Anuncio.
En virtud de lo dispuesto por ol Exeme. Sr. Capitán General do esta lele, en primero de! corriente mes, so ha de proceder á contratar per subasta pública simultáneamente en los Hospitales militaros de Santiago de Cuba, Puerto-Príncipe y Habana les efectos do cristal, loza, barro, mimbre, ferretería^ carpinteria, quo sean necesarias para el servicio de los Hospitales militares do la Isla, que detalladamente se expresan en las relaciones y por lotes que están unidas al pliego do condiciones por el término do un año y cnaíro meses más si así conviniese á los intereses dol Estado, cuyo acto de remate tendrá Ingar a las 12 do la mañana del dia 2 do Setiembre próximo on la Dirección Subinspccoion en esta capi-

tal y en las Direcciones de los Hospitalos on los restantes.
Lo que se anuncia al público para que puedan presentarse como iicitadores las peisonasá ouiones convenga, siempre que lo verifiquen bajo las bases quo marca el pliego de condiciones y modelo do proposiciones, con los precios límites que se hallan de manifiesto para los quo lo interesen en la Secretaría do la Junta Superior Económica, sita, on la Dirección Subinspoccion del Cuerpo (Casa do las Viudas).
Habana 10 do Julio de 1879.—El Secretario, Francisco Alafont Masso.
Dirección y Administración del Hospital de San IA zaro. '
El Excmo. Sr. Gobernador General se ha servido aprobar los pliegos de condiciones para el remato de ios suministros de medicinas, pan, víveres, aves y huevos, leche, carne, combustible, ropa y calzado que so necesitan en este Hospital durante ol año i eonómico de 1879 á 80; y habiendo acordado el limo. Sr. Vice-Presidente do la Junta Genoral de Beneficencia que la subastado ¡os expresados suministros tonga lugar el dia sois de! .piximo mes do Agosto,A la una do la tarde en el Palacio Episcopal, ante lina comisión de la misma Junta, se publica por este medio ¡tara que llegue á conocimiento do los Iicitadores, pudiendo estos presentar sus proposiciones con arreglo á los respectivos pliegos que so insortan á continuación y siendo de cuenta de los adjudicatarios el abono do los anuncios que por este concepto tengan lugar confórme lo previenola Real orden do 5 de Juuio do 1878.
Habana Julio 5 de 1879.—El Director Administrador, Manuel Ijopcz Laza.
Pliego do condiciones para el suministro de la lecho quo se necesita en el Hospital do San Lázaro durante el año oconómico de 1879 á 80.
Se publicó en la Gaceta en los dias 10 y 11 del corriente.
ACCIONES.
Banco Español de la Habana... Par & 4 P. oro, ev-div?
Banco Industrial............. 77 A 78 P. billetes id.
Banco y Compañía de Almacenes de Regla y,del Comercio. 5 A 5} P., id. id. Banco y Almacenes de Santa
Catalina................. 20 A 19 I). id.
Caja de Ahorros, Descuentos y
Depósitos de la Habana... 25 á 20 P. oro.
Compañía española alumbrado
(le Gas.................. 38 & 39 P. billetes.
Compañía Cubana de alumbrado
de Gas................... 23 ít 24 P., idem.
Compañía de almacenes de Hacendados ...................... 55 & 56 P,, id. ex-dv?
La Alianza, Compañía de Créditos y Seguros..............
Compañía de Caminos de Hierro
de la Habana.............
Idem de Matanzas ít Sabanilla..........................
Idem de Cárdenas y Júcaro......
Idem de Cienfuegos á Villacla-
ra........................
Idem de Sagua la Grande...... 23 á 22 D. id. id.
Id. de Caibarien á Sti.-Spíritus 47 A 48 P. id.
Idem del Oeste............... 66 á 65 D. i i.
Idem de la Babia de la Habana
á Matanzas............... 94 á 93 D. id.
Idem Urbano.................. 30 á 29 D. id.
Nota.—Se han vendido por el auxiliar de corredor D. A. Angelet, 40 acciones del ferro-carril entre Cien-fuegos y Villaclata á 4 p.§ P. en billetes del Banco Español.
97 á 98 D., idem.
20 á 19 D. id. ex-dvd?
4 á 5 P., id. ex-dvd? 73 á 74 P. id. id.
3 á 4P. id. id.
MERCADO EXTRANJERO.
AZUCARES.
N? 12 7 á 7) rs. arroba oro,, según clase.
CENTRÍFUOASDE GUARAPO.
De 7J.á 8J rs. arroba. Según envase, polarización y número.
AZUCAR DE MIEL.
De 5j á 04 rs. Idem.
AZUCAR MASCABADO.
De 5J á 6 rs., según clase.
SRES. CORREDORES DE SEMANA.
DE CAMBIOS Y ACCIONE».
D. Felipe N, Carbonell.
D. Juan Saavedra, dependiente auxiliar del colegial D. Andrés Manteca.
DE FRUTOS.
Pliego do condiciones para el suministro dol pan quo so necesito on el Hospital do «San Lázaro» durante el año económico de 1879 á 80.
Se publicó en la Gaceta en los dias 10 y 11 del corriente.
Pliego de condiciones para el remato del suministro del calzado quo se necesita on ol «Hospital de San Lázaro,» durante el año económico do 1879 á 80.
Se publicó en la Gacota en los días 10 y 11 del eorrionto.
D. José Ma de Montalvan.
D. Genaro Vázquez.
Habana 12 de Julio de 1879.—El Sindico interino, M. Nuñez.
CUARTA SECCION.
OPICIBTAË B3SX. XSfSXU&XOS.
Administración Económica de la Provincia de Santa Ciara.
Sección do Contabilidad.—Negociado de Tesoro.
( asa general de Enayenados de la isla de Cuba.
Junta Económica.
Secretaría.
No habiendo podido subastarse por falta de Iicitadores ol arbitrio del derecl o de planchas que satisfacen á la Casa General de Ena-genados los buques de travesía que atracan á los muelles d?l puerto de la Habana; el Excmo. Sr. Gobernador General, por acuerdo de siete del actual, se ha servido disponer se convoque á nuevo remate con la rebaja del diez por ciento del tipo de doce mil pesos oro, fijado para las anteriores subastas, ó sea novecientos pesos oro al mes que hacen la suma anual de diez mil ochocientos pesos; y en su vista la Junta Económica de este Asilo, en sesión de 26 del que rije, acordó señalar el dia diez y ocho del mes de Julio próximo á las doce de la mañaua para la celebración del acto en la Secretaría de la Excma. Junta de Beneficencia, Palacio Episcopal, calle de la Habana, en dondo estarán de manifiesto lo mismo que en esta oficina el expediente y pliego de condiciones al que se deberán atener en un todo las personas que pretendan hacer licitación á este ramo.
Ferro Junio 27 do 1879.—El Secretario de la Junta Económica, Faustino Cancl.
El pliego de condiciones se publicó en la Gaceta del Í8 de Setiembre de 1878.
Junta Económica del Hospital Civil de San Felipe y Santiago de esta capital.
Debiendo tenor lugar á las doce dol dia veinte y uno do Julio pióximo, la licitación pública para el suministro de los víveres, pan y panetelas, carne y choquezuelas, pollos y huevos, leche, medicinas y efectos quirúrgicos, combustible, ropas y géneros, y utensilios que necesite este Hospital durante el año económico do 1879 á 1880, se avisa por este medio, á fin de que las personas que desoen hacer proposiciones acudan á la Secretaría do la J unta de este Establecimiento todos los dias hábiles de once de la mañana á cuatro de la tardo, en cuyas horas estarán do manifiesto ios respectivos pliegos donde se expresan los precios y condiciones á quo habrán do getarsc los Iicitadores; advirtiéndose que una hora antes do la señalada para el remate se cerrará la admisión de proposiciones.
Habana 25 do Juníe de 1879.— El Secretario, Crisanto Espiga.
Banco Español de la Habana.
Secretaría.
El Consejo de Direcoion do este Establecimiento, en sesión extraordinaria celebrada en ol dia de hoy, se ha servido acordar, en vista do las utilidades obtenidas en el último semestre, un dividendo de cinco por ciento en oro, pudiendo on su consecuencia acudir los Sre?. accionistas on hi ra de once á dos de la tarde á este Banco para percibir sus respectivas cuotas desde el dia catorco dol actual en adelante.
Lo que por este medio so hace saber á los Sres. accionistas para su conocimiento y gobierno, recomendándoles 'a puntual observancia del artículo 13 del Reglamento que proviene la presentación del tí tulo ó certificado do inscripción de acciones para el cobro de los dividendos.
Habana 19 de Ju'io de 1879.—Eugenio de Nuvti Caveda.
Habiendo acudido á esto Establecimiento el Sr. D. Domingo Diaz y Alonso, en solicitud de que se lo provea dol correspondiente duplicado do la certificación do depósito simple número 25.339 que se le expidió en ocho de Mayo del corriente año por la cantidad de ochocientos cincuenta pesos on billetes, so ha servido acordar la Dirección de conformidad con ló dispuesto on los artículos 39 y 156 dol Reglamento, que por nueve números consecutivos de la Gacota oficial y demás periódicos do esta capital se convoque á lab personas que puodan conceptuarse con derecho para impugnar dicha solioitud, en la inteligencia de quo hí deutro del término de quinto dia después del último anuncio no so estableciese reclamación on contrario se accederá á la misma, quedando nula y sin valor alguno la certificación expedida anteriormente.
Habana 11 de Julio de 1879.—El Secretario, Eugenio de Nava Caveda.
Debiendo procederse por esta Administración Económica en cumplimiento do lo dispuesto por la Contaduría Genoral do Hacienda al remate en pública Eubastu do una casa-quinta de tabla, teja y manipostería co» doco solares, parte de ellos coreados do piñi, situada en las afueras de esta población barrio del Condado detrás dol Campo santo viejo y do la propiodad do D9 -Regla Datrocinia Herrera, tasada en la cantidad do novecientos ochenta y ocho pesos setenta y cinco contavos en oro con objeto de que la Hacienda so reintegre del • alcance que lo resultó á D. Juan Diaz Forcada eu el destino de Administrador do Rentas de la ciudad de Trinidad, se anuncia al público por medio de la Gaceta oficial de la Habana y Boletín oficial do esta Provincia pera los que deseen hacer proposiciones lo efectúen cu la forma quo se expresa ou el siguiente pliego de condiciono?.
1.05 La subasta tendrá lugar ol dia sieto do Agosto próximo á las doce do su mañana en la Administración Económica do la Provincia.
2.33 No so admitirá ninguna proposición que no cubra el tipo señalado para la subasta. '
3.03	Para hacer proposioionos se necesita haber depositado en las Oajas de esta Administración Económica el cinoo por ciento del importo de aquella.
4.03	Las proposiciones deberán hacerse en papel dol sollo 8.° acompañando la oarta de pago dol referido depósito, sin cuyo requisito no será acoplada.
Este depósito tan p onto se terminóla subasta será devuelto á aquello» quo no se la hubiesen adjudicado.
5. 33 Los gastos do escritura, publicación del anuncio de subasta y demás que so originen serán de cuenta do! rematador.
El expediente original se halla do manifiesto en esta Administi'acion Económica dondo podrán examinarlo las personas quo deseen adquirir más pormenores.
Santa Cara 5 do Julio de 1879.—El Jefa Económico, Antonio G. Novclles.
Modelo do proposición.
1)....vecino do.....callo de....núm......ente-
rado dol anuncio publicado on el Boletín oficial do
esta Provincia del dia....hace proposición para el
remate de la casa do la propiedad de Di1 Regla Pa-trocinia Herrera, situada en las afueras do esta población y ofrece por dicha oasa la sumado....nesos
en oro comprometiéndose además á satisfacer los gastos quo so citan on la condición quinta.
Fecha y firma.
Junta Protectora de Libertos de la Provincia de Matanzas.
Secrotai ia.
