mo
gaceta de la habana
Vit triti.	I libro.	folie.	CONVENTO.	Importe de los recibos.	
202	...	65	Idem.	0	15 —
203		67	ídem.	0	30 ...
204	».	7*	Idem.	0	II ...
205		73	Idem.	0	*9 94
206		67	Universidad.	0	IO ...
207		69	Idem.	0	7 50
208		7*	Idem.	0	7 50
209		73	Idem.	0	5
210		77	Idem.	0	5 •••
211		83	Idem-	»	*5 •••
212		85	Idem.	0	25 ...
2x3		93	Idem.	0	IO ...
2I4		95	Idem.	0	7 50
215	...	97	Idem.	0	5 —
216		IOI	Idem.	0	7 50
217		107	Idem.	0	IO ...
218		109	Idem.	0	14 ...
2I9		**3	Idem.	0	10 . •
220	...	*65	Idem.	0	60 ...
221	20	53	San Agustín.	0	7 50
Negociado de Bienes del listado.
ADMINISTRACION LOCAL.
Administración de la Aduana de ia Habana.
El Jueves 2 de Octubre próximo á las doce de su ma-fiana, se rematarán en el antiguo Depósito Mercantil de loa Almacenes de Regla los efectos siguientes:
12 Cajas anuncios de lata, valorados en $ 12 ...
30 Cajas gotas amargas en.*,........ ” 100 ...
3 Guacales loza...........■*........ ” 25 ...
2 Dos cajas lápidas de marmol.... ..... ”	5 ...
Una caja creas y crehuelas con 350 kilos. ” 519 ...
Advirtiendo que para hacer proposición es preciso depositar en la caja de esta Administración el 5 p.§ del valor del los expresados efectos.
Habana, 20 de Septiembre de 1890.—M. Zábalo.
El miércoles l.° de Octubre próximo, á las doce de su mafiana, se rematarán en los almacenes de esta Aduana dos cajas conteniendo avíos de caza, declarados de abandono»
y valorados en oro ......................... $ 5 50
Advirtiendo que para hacer proposición es preciso depositar en la caja de esta Administración el 5 p.§ del valor de la expresada mercancía.
Habana, Septiembre 26 de 1890.—M. Zábalo.
Habiendo sido denunciada como bienes mostrencos la casa sitúa la en la calle de la Lealtad número 170 de esta capital, se hace público por este medio y término de treinta dias, para que las personas que se crean con derecho á su propiedad lo justifiquen en la forma debida.
Habana 2 de Septiembre de 1800.—El Admor.'Pral, P. S., Joaquín Ortega.
Administración princinal de Hacienda de la provincia de Pinar del Río-
Bienes del Estado.
Habiéndose adjudicado á favor de la Hacienda, en el concepto de Bienes Vacantes, la Vega número 7, que perteneció al intestado Ultramarino D. Francisco Flores Ramos, (a) Frasquillo, ubicado en el partido de San Diego de los Baños, barrio de Arroyo Colorado, compuesto de una caballería de tierra, ó sean 13 hectáreas, 42 áreas y dos centiárreas, que lindan al Norte con terrenos de herederos de D. Pedro Rodríguez; al Sur con el camino Real de la Sierra; al Este con herederos de D. Fernando Oliva y al Oéste con la serventía de Arroyo Colorado, habiendo sido tasada en la suma de 766 pesos oro, de los que hay que deducir 350 pesos que reconoce en un capital de un censo á favor de D. Ramón Argiielles, vecino de la Habana, he acordado sacar á pública subasta la referida Vega, cuyo acto tendrá lugar el día 30 del próximo mes de Octubre á las doce de su mañana en esta Administración y Ayuntamiento de San Diego de los Baños bajo las condiciones siguientes.
• Pinar del Río, y Setiembre 19 de 1890.—P. S., Gal-din» Ordas.
' Pliego de condiciones.
Primera. Las proposiciones se harán en pliegos cerrados, y además de la cédula personal se acompañará la carta de pago que acredite haberse hecho el depósito del 5 por ciento del valor de la tasación.
Segunda. Sólo se admitirán pliegos por espacio de media hora, transcurrida la cual, se abrirán aquéllos por el Sr. Presidente, y se adjudicará la finca al que resulte mejor
3EC0CIAD0 DE TEJEDURIA DE LIBROS.
RECAUDACION DE ESTE DIA.
CONCEPTOS.
Derechos arancelarios.	Metálico. Pesos. Cs.	Billetes. Ps. Cs.	TOTAL. Pesos. Ca
Por 25 cts. de pesos por			
cada pasajero...	10 75			10 75
« Importación		28158 90	..... ...	28158 90
« Exportación		59 40		59 40
1 Carga v descarga	2540 86				2540 86
« Depósito Mercan-			
til 			..... ...	...
« Multas por infrao-			
ciones		137 57	.... ... •	137 5T
« Resultas de 1888			
á 1889				 —			
Suma				30907 48	..... ...	30907 48
IMPUTO.
Por el de bebidas incluso el 50 p.§ Municipio .............
Por el de diez por ciento sobre pasajes Por el de consumo de
ganado	
	Por el de 25
Parala Jnn-	cts. por tonelada de
ta de Obras	descarga	
del Puerto.	Por el de A-
	traque, Pon tóny Draga
Total..
1206 49
90
248 97
32363 84
1206 49
90
248 97
...	32363 84
COMPARACION.
postor.
Tercera. No se admitirán posturas que no cubran los dos tercios de la tasación, y si se presentaran dos ó más igualmente ventajosas, se abrirá puja á la llana, que durará sólo quince minutos, entre los autores de dichas proposiciones.
Cuarta. El pago del importe del remate se hará al contado y dentro de los primeros quince días después de haberle sido notificado su aprobación, y si no lo hiciere perderá el depósito y el derecho á la subasta.
Quinta. Todos los gastos originados y que se originen, así como los de escrituras, anuncios y demás, serán de cuenta del rematador.
Sexta. El expediente original se hallará de manifiesto en el Negociado de Bienes del Estado de esta Administración, donde podrán concurrir á enterarse de los pormenores que les convengan, todos aquellos que intenten concurrir á la subasta.
épocas.	Pesos	Os.
Recaudado hasta la fecha en este mes por
todos conceptos.................... 919013	85
Idem hasta igual dia	del afio	anterior.	498188	54
De más	en 1890... 420825	31
Habana, 25 de Septiembre de 1890.—El Tenedor de libros, Ramón P. de Varga.-E¡\ Contador, A. Villavieeneio. Vio. Bno.—El Administrador, M. Zábalo.
Real Casa de Beneficencia y Maternidad-
Secretaría.
Modelo de proposición.
Don N. N........vecino de ......calle de....... n.°
enterado del anuncio publicado en el Boletín oficial de la
provincia.y Gaceta de la Habana en los días de.,.....y
de.......hace proposiciones por el remate de la Vega de
una caballería de tierra que perteneció al intestado ultramarino D. Francisco Flores Ramos [a] Frasquillo, ubicada en el término municipal de San Diego de los Baños, barrio de Arroyo Colorado, y ofrece por la misma la suma de,...... pesos oro, comprometiéndome además, á satisfa-
cer los gastos originados y que se originen, según expresa la cláusula quinta del pliego de condiciones.
Fecha y firma.
De orden del Excmo. Sr. Gobernador General, se sacan á pública subasta las casas siguientes, situadas en Gua-nabacoa, pertenecientes á este Asilo: Las casas Padilla 18, 20 y 22, tasadas cada uua en $ 102-76 oro; Delicias 2, en $ 321-38 oro; Delicias 4, en $ 148-11 oro; Barreto 122 y 124, cada una en $ 170 67 y Barreto 126 en $ 178 29 oro; debiendo tener lugar el remate á los 30 días naturales, contados desde la primera publicación de este anuncio en la Gaceta á la hora de las tres de la tarde, en el Gobierno Civil, Aguiar 57; los que deseen hacer proposiciones pueden pasar á examinar examinar el pliego de condiciones en la Secretaría de la Real Casa, todos los días hábiles de 8 á 4 de la tarde.
Habana, 19 de Septiembre de 1890.—Ldo. Femando Freyre,
