GACETA DE LA HABANA
615
lio 98 ORDEN	LIBRO.	FOLIO.	CONTENTO. *	IMPORTE DE LOS RECIBOS	
Relación de los recibos de réditos de censos de Regulares, vencidos en el mes de Agosto de 1890, que para su cobro han sido entregados por esta Administración principal, al Tesorero de la misma.
r do orden.	1 libro	Folio.	CONVENTO.	Import« it loi recibos.	
i	29	*3*	Santo Domingo.	t	5 —
2	...	133	Idem.	»	5 —
3		*34	Idem.	B	.5 ••
4		*38	Idem.	»	7 50
5		*39	Idem.	B	8 75
6	...	141	Idem.	B	IO ...
7		144	Idem.	»	10 . .
8	...	146	Idem.	»	12 50
9	...	*52	Idem.	»	IS —
10		*56	Idem.	B	15 87
il		160	Idem.	))	20 ... .
12	. .	162	Idem.	B	23 ...
*3		163	Idem.	»	S2 S2
14	...	167	Idem.	»	3° —
15		171	Idem.	B	30
16	...	172	Idem.	#>	33 —
17		176	Idem.	B	35 -V
18		*77	Idem.	»	35 —
19	...	178	Idem.	«B	35 —
20		180	Idem.	0»	40 ..
21		181	Idem.	»	40 69
22		185	Idem.	B	60 ...
23	...	*93	Idem.	»	243 75
24	...	200	Idem.	»	100 ...
25		201	Idem.	B	5 —
26		202	Idem.	■ B	7 5°
27		203	Idem.	B	7 5°
28		204	Idem.	»	7 50
29		205	Idem.	B	7 50
3°		207	Idem.	B	18 izyç
31	...	2p¿	Idem.	B	l8 I2J¿
32		209	Idem.	»	-22 50
33		2i8	Idem.	B	.5 —
34		219	Idem.	*	5 —
35		221	Idem.	«	2 50
36		222	Idem.	»	10 ...
37		225	Idem.	))	29 75
38		228	Idem.	»	25 ...
39	...	232	Idem.	B	15 ••
40		233	Idem.	»	7 50
41		235	Idem.		10 ...
42		236	Idem.	»3	15 —
43		237	Idem.	B	6 40
44		237	Idem.	»	4 *7
45		237	Idem.	»	5 35
46		238	Idem.	J»	20 ...
47		241	Idem.	'B	22 31
48		242	Idem.	-»	5 —
49		243	Idem.	»	5 ...
5°		244	Idem.	B	21 ...
51		245	Idem.	;»	25O ...
52	...	246	Idem.	IB	12 50
53		248	Idem.	»	I3 •••
54		249	Idem.	B	5
55	...	25*	Idem.	B	22 50
56		253	Idem.	»	6 42
57		254	Idem.	B	7 5°
58		256	Idem.	»	20 ...
59		258	Idem.	B	28 62%
60	...	268	Idem.	B	2 50
61		271	Idem.	»	35 —
62	...	275	Idem.	B	15 87#
63		276	Idem.	B	7 94
64	..	278	Idem.	B	2 50
6s	...	281	Idem.	B	22 50
66		282	Idem.	»	2 50
67		289	Idem.	B	5 —
68	...	291	Idem.	B	3* 94
69		295	Idem.	B	*7 5°
70	3?	274	Idem.	B	9 25
71	... -	266	Idem.	»	82 44
72		267	Idem.	»	35 —
73	U.	*93	Sto. Domingo de Gnbca	»	4 ...
74		*95	Idem.	»	25 ...
75	...	197	Idem.	B	20 ...
76		199	Idem.	»	20 ...
77	...	201 •	Idem.	B	20 ...
78		203	Idem.	B	6 25
79	...	207	Idem.	B	80 ...
80		209	Idem.	B	17 5°
81		211	Idem.	))	25 ...
82	...	213	Idem.	»	20 ...
83		215	Idem.	B	33 ...
84	...	217	Idem.	))	20 ..
85	...	219	Idem.	»	20 ...
86		221	Idem.	»	20 ...
87		223	Idem.	»	5 •••
88	...	225	Idem.	»	10 ...
89		227	Idem.	»	6 ...
