GACETA DE LA HABANA
639
1*9)1 •un	LIBRO.	mío.	COSTEELO.	IMPORTE 11 LO) RECIBOS	
5Z		I7O	Idem.	B	6 .
53		171	Idem.	B	IO •
•54		174 ■	Idem.	B	*5 •
55		*75	Idem.	B	25 •
56		176	Idem.	»	90 ,
57	ú.	7*	San Felipe.	))	87 50
58		72	Idem.	»	' 5 40
59		73	Idem.	B	40 .
60		74	Idem.	B	9.0 .
6l		75	Idem.	B	200 .
62		76	Idem.	B	IOO .
63		58	Merced.	B	*9 37já
64		59	Idem.	B	*9 37^
65		66	Idem.	B	25 •
66		70	Idem.	B	42 5°
67		7*	Idem.	B	5° •
74		35	Jesuítas.	»	30 87
75		II	San Isidro.	B	6 62
76		43	Universidad.	B	33 75
‘ 77		49	Idem.	B	5 •
NUMERO 4.
Relación de los recibos de réditos de censos de Regulares, vencidos en el mes de Julio de 1890, que para su cobro han sido entregados por esta Administración principal al Tesorero de la misma.
So DE ORDE!«	Ä 03 CO •4	FOLIO.	miim.	IMPORTE DE LOS RECIBOS.	
I	29	70	Santo Domingo.	*	25 ...
2	...	7*	Idem.	B	6 8SJá
3	...	73	Idem.	B	
4	...	74	Idem-	B	10 ...
5	...	76	Idem.	B	50...
6	...	77	Idem.	»	50 ...
7		78	Idem.	B	20 . .
8		81	Idem.	B	25 ••
9	...	82	Idem.	B	10 ...
10		83	Idem.	B	10 ..
il	...	85	Idem.	B	10 ...
12	...	90	Idem.	B	25 • •
*3	...	9*	Idem.	B	25 ...
*4	...	96	Idem.	B	18 ..
*5	...	III	Idem.	»	25 ...
l6		r*5	Idem.	B	6 32
*7	...	lió	Idem.	B	6 32
18	...	119	Idem.	B	*5 ••
*9	...	121-	Idem.	B	5o
20	...	126	Idem.	B	38 32
21	...	128	Idem.	B	ii 50
22		120	Idem.	»	75 ...
23	ü.	*35	Idem de Guanabacoa.	B	43 5°
24	...	*37	Idem.	B	*8 25
25	' ...	*43	Idem.	»	20 ...
26		*45	Idem.	B	i* 25
27		*47	Idem.	»	12 50
28	...	149	Idem.	B	16 50
29	...	*53	Idem.	B	2 50
30		*55	Idem.	»	2 50
3*	. -	*57	Idem.	B	*3 —
32	...	*59	Idem.	B	7 50
33	i..	I61	Idem.	B	21 82
34		163	Idem.	B	12 50
35	...	169	Idem.	B	2 50
36		171	Idem.	B	2 50
37	...	*77	Idem.	B		 84
38	• ».	*79	Idem.	B	..... 84
39	...	181	Idem.	»	.. .. 84
40	• r	*83	Idem.	JO	.... 84
4*		185	Idem.	»		 84
42		187	Idem.	»		 84
43		189	Idem.	»	i 69
44	...	191	Idem.	))	21 27
45	2Q	87	San Francisco.	»	6 53
46	..	88	Idem.	B	7 5o
47		89	Idem.	B	IO ..
48	..	98	Idem.	B	12 SO
49	...	IOI	Idem.	h	12 SO
50		107	Idem.	B	5° •••
5*	...	108	Idem.	B	32 50
52		109	Idem.	B	260 ...
53		*97	Idem.	».	357 5°
54	...	114	Idem.	»	IO ...
55		**5	Idem.	»	10 ...
56	...	**9	Idsm.	»	21 ...
57	...	122	Idem,	1)	IO ...
58		*3*	Idem.	»	50 ...
59		*87	Idem.	J»	84 *9
60	ü.	76	Merced.	»	70 ...
6l		78	Idem.	B	25 ...
62	...	82	Idem.	B	25 ...
63		83	Idem.	B	7 5°
64		87	Idem.	B	50 ...
65	• •V	89	Idem.	B	25 ...
66	...	I7O	Idem.	B	75
67	29	2	San Agustín.	B	10 ...
68	...	3	Idem.	B	20 ...
69	...	6	Idem.	B	5
70	...	7	Idem.	B	40 ...
7*		8	Idem.	B	50 ...
72		9	Idem.	B	lo ...
73		IO	Idem.	B	28 ...
74	•	II	Idem.	B	II 25
75	...	*7 -	Idem.	B	5° —
76	•••	l8	Idem.	B	6 87^
77		*9	Idem.	»	8 ...
78		*83	Idem.	»	25 25
79	...	*74	San Francisco.	»	12 50
80	...	*75	Idem.	»	12 50
81		176	Idem.	»	25 ...
82	ÏÏ.	39	Belén.	»	IO ...
83	...	III	Idem.	»	25 ...
84		82	San Felipe. '	»	5 —
85		83	Idem.	• »	17 5°
86		84	Idem.	»	8 75
87		84	Idem.	B	8 75
88	...	213	Idem.	B	228 75
89	...	185	Idem.	B	5 —
90	. .	43	Jesuítas.	B	15
9*	• •	45	Idem.	»	IO ...
92	...	49	Idem.	»	10 ...
93		57	Universidad.	»	*5 ••
94	29	I24	Santo Domingo.	»	31 ...
95	...	I24	Idem.	»	3 17J2
96		*24	. Idem.	»	3 i7J^
97		124	Idem.	»	3 99
9.8	...	124	,Idem.	»	3 i7já
99	...	124	Idem.	B	7 20
loo	...	124	Idem.	B	i 10
loi		124	Idem.	»		85
r?d» erden.	libro.	folio,	CONVENTO.	¡■porto do los recibos.
102	2?	124	Santo Domingo.	$ .... 95
103	• ••	124	Idem.	B I IO
104	...	124	Idem.	a 3 lo
105	• ••	124	Idem.	» 2 85
106	I.«	72	San Agustín.	» *41 85
107	8?	Î3A DEL	Zanja Real,	» 60 • ••
NUMERO 5.
Relación de los recibos de réditos de censos de Regulares, vencidos en el mes de Agosto de 1890, que para su cobro han sido entregados por esta Administración principal, al Tesorero de la misma.
N° do orden.	libro-	MÍO;	CONVENTO.	Importe le los recibes.	
I	20	13*	Santo Domingo.	$	5 —
2		*33	Idem.	B	5 —
3	• M	*34	Idem.	B	S’-- •
4	' ...	138	Idem.	»	7 5°
5		*39	Idem.	»	8 75
6		141	Idem.	B	IO •••
' 7		*44	Idem.	»	10 - .r
8		146	Idem.	B	12 50
9		152	Idem.	M	15 ...
10		*56	Idem.	»	*5 87
ii		160	Idem.	M	20 ...
12		162	Idem.	J)	23 ...
13		163	Idem.	B	32 32
14	...	167	» Idem.	»	30 ...
15		171	Idem.	B	30 ...
16		I72	Idem.	B	33
17	• •	176	Idem.	»	35 —
18		177	Idem.	B	35
19		178	Idem.	B	35 •“
20		180	Idem.	.»	4O V.
21		' 181	Idem.	B	40 69
22		185	Idem.	»	tfo ...
23		*93	Idem.	B	243 75
24		200	Idem.	»	IOO ...
25		201	Idem.	B	5 •••
26	....	202	Idem.	»	7 5®
27	. ¿!	203	Idem.	9	7 5°
28	...	204	Idem.	B	,7 5°
29		205	Idem.		7 5°
3°		207	Idem.	D	l8 Í2I¿
3I		208	Idem.	D	l8 I2J£
32		209	Idem.	T»	22 5°
33		218	Idem.	i»	5 —
34		219	Idem.	»	5 —
35		221	Idem.	■B	2 50
36		272	Idem.	B	IÓ ...
37		2 25	Idem.	B	29 75
38		228	Idem.	B	25 •••
¿9		232	Idem.	J)	15 •••
40		233	Idem.	»	7 5°
4*		235	Idem.	B	,lO
42		236	Idem.	B	15 —
43		237	Idem.	»	6 40
44		237	Idem.		4 *7
45	...	237	Idem.	•1»	5 35
46	...	238	Idem.	■»	20 ...
47		24I	Idem.	B	22 31
48		242	Idem.	B	3 ~
49	•••	243	Idem.	»	5
5o		244	Idem.	' »	2:1 ...
5*		245	Idem.	!»	*5° —
52		246	Idem.	»	12 5°
53	•••	248	Idem.	0)	13 ...
54		249	Idem.	»	5 •••
55	Vo	251	Idem.	»	22 5°
56		253	Idem.	»	6 42
57	...	254	Idem.	»	7 5°
58		256	Idem.	»	20 •••
59	..	258	Idem.	*	28 62^
60		268	Idem.	B	2 50
6l		271	Idem.	J»	35 —
62	...	275	Idem.	»	*5 87j£
63		276	Idem.	»	7 94
64	• .	278	Idem.	»	2 5°
65		281	Idem.	»	22 50
66		282	Idem.	»	2 50
67	... »	289	Idem.	»	5 —
68		29I	Idem.	»	31 94
69		295	Idem.	»	*7 5°
70	39	274	Idem.	»	9 25
71		266	Idem.	»	82 44
72	...	267	Idem.	»	35 —
73	U.	193	Sto. Domingo de Gnbca	»	4 ...
74		*95	Idem.	»	25 ...
75		197	Idem.	»	20 ...
76		199	Idem.	»	20 ... ‘
77		201	Idem.	»	20 ...
78		203	Idem.	»	6 25
79		207	Idem.	»	80 ...
80		209	Idem.	»	17 5®
si	...	211	Idem.	»	25 ...
82		213	Idem.	»	20 ...
83		215	Idem.	»	33 ...
84		217	Idem.	»	20 . o
85		210	Idem.	»	20 ...
86		221	Idem.	»	20 .
87		223	Idem.	».	5 ...
88		225	Idem.	»	IO ..
89		227	Idem	»	6 ...
